target	name	probe count	reads hit	reads tested	total size	strains
9966	Insecta_Coleoptera_Staphylinidae_Aleocharinae	6	1606	33903	34303	2
9967	Insecta_Coleoptera_Staphylinidae_Aloconota	0	0	17956	18156	1
9968	Insecta_Coleoptera_Staphylinidae_Aloconota_currax	1590	17932	17956	18156	1
9969	Insecta_Coleoptera_Staphylinidae_Anthobium	0	0	17687	17887	1
9970	Insecta_Coleoptera_Staphylinidae_Anthobium_melanocephalum	2013	17633	17687	17887	1
9971	Insecta_Coleoptera_Staphylinidae_Astenus	0	0	17252	17452	1
9972	Insecta_Coleoptera_Staphylinidae_Astenus_lyonessius	1758	17252	17252	17452	1
9973	Insecta_Coleoptera_Staphylinidae_Atheta	23	3066	51533	52133	3
9974	Insecta_Coleoptera_Staphylinidae_Atheta_gagatina	1612	17627	17685	17885	1
9975	Insecta_Coleoptera_Staphylinidae_Atrecus	0	0	16645	16845	1
9976	Insecta_Coleoptera_Staphylinidae_Atrecus_affinis	1493	16590	16645	16845	1
9977	Insecta_Coleoptera_Staphylinidae_Batrisodes	1991	18801	18819	19019	1
9978	Insecta_Coleoptera_Staphylinidae_Bisnius	0	0	18081	18281	1
9979	Insecta_Coleoptera_Staphylinidae_Bisnius_sordidus	2186	18081	18081	18281	1
9980	Insecta_Coleoptera_Staphylinidae_Bolitobius	0	0	17272	17472	1
9981	Insecta_Coleoptera_Staphylinidae_Bolitobius_castaneus	1921	17246	17272	17472	1
9982	Insecta_Coleoptera_Staphylinidae_Brundinia	0	0	16803	17003	1
9983	Insecta_Coleoptera_Staphylinidae_Brundinia_marina	1573	16691	16803	17003	1
9984	Insecta_Coleoptera_Staphylinidae_Callicerus	0	0	16755	16955	1
9985	Insecta_Coleoptera_Staphylinidae_Callicerus_obscurus	1481	16710	16755	16955	1
9986	Insecta_Coleoptera_Staphylinidae_Carpelimus	0	0	15882	16082	1
9987	Insecta_Coleoptera_Staphylinidae_Carpelimus_fuliginosus	1703	15788	15882	16082	1
9988	Insecta_Coleoptera_Staphylinidae_Crataraea	0	0	19440	19640	1
9989	Insecta_Coleoptera_Staphylinidae_Crataraea_suturalis	1529	19309	19440	19640	1
9990	Insecta_Coleoptera_Staphylinidae_Dacrila	0	0	16603	16803	1
9991	Insecta_Coleoptera_Staphylinidae_Dacrila_fallax	1581	16530	16603	16803	1
9992	Insecta_Coleoptera_Staphylinidae_Dexiogyia	0	0	18925	19125	1
9993	Insecta_Coleoptera_Staphylinidae_Dexiogyia_corticina	1564	18442	18925	19125	1
9994	Insecta_Coleoptera_Staphylinidae_Diartiger	0	0	18736	18936	1
9995	Insecta_Coleoptera_Staphylinidae_Diartiger_fossulatus	1823	17672	18736	18936	1
