class	order	family	genus	species	ssp	Accession			
Aves	Anseriformes	Anatidae	Anas	poecilorhyncha		NC_022418			
Aves	Anseriformes	Anatidae	Anser	albifrons		NC_004539			
Aves	Anseriformes	Anatidae	Anser	anser		NC_011196			
Aves	Anseriformes	Anatidae	Anser	cygnoides		NC_023832			
Aves	Anseriformes	Anatidae	Anser	fabalis		NC_016922			
Aves	Anseriformes	Anatidae	Anser	indicus		NC_025654			
Aves	Anseriformes	Anatidae	Aythya	americana		NC_000877			
Aves	Anseriformes	Anatidae	Aythya	ferina		NC_024602			
Aves	Anseriformes	Anatidae	Aythya	fuligula		NC_024595			
Aves	Anseriformes	Anatidae	Branta	canadensis		NC_007011			
Aves	Anseriformes	Anatidae	Cairina	moschata		NC_010965			
Aves	Anseriformes	Anatidae	Cygnus	atratus		NC_012843			
Aves	Anseriformes	Anatidae	Cygnus	columbianus		NC_007691			
Aves	Anseriformes	Anatidae	Cygnus	columbianus		NC_017604			
Aves	Anseriformes	Anatidae	Cygnus	cygnus		NC_027095			
Aves	Anseriformes	Anatidae	Cygnus	olor		NC_027096			
Aves	Anseriformes	Anatidae	Dendrocygna	javanica		NC_012844			
Aves	Anseriformes	Anatidae	Mareca	falcata		NC_023352			
Aves	Anseriformes	Anatidae	Mergus	squamatus		NC_016723			
Aves	Anseriformes	Anatidae	Netta	rufina		NC_024922			
Aves	Anseriformes	Anatidae	Sibirionetta	formosa		NC_015482			
Aves	Anseriformes	Anatidae	Tadorna	ferruginea		NC_024640			
Aves	Anseriformes	Anatidae	Tadorna	tadorna		NC_024750			
Aves	Anseriformes	Anseranatidae	Anseranas	semipalmata		NC_005933			
Aves	Apodiformes	Apodidae	Apus	apus		NC_008540			
Aves	Apodiformes	Apodidae	Chaetura	pelagica		NC_028545			
Aves	Apodiformes	Apodidae	Cypseloides	fumigatus		NC_034933			
Aves	Apterygiformes	Apterygidae	Apteryx	haastii		NC_002782			
Aves	Apterygiformes	Apterygidae	Apteryx	owenii		NC_013806			
Aves	Bucerotiformes	Bucerotidae	Aceros	waldeni		NC_015085			
Aves	Bucerotiformes	Bucerotidae	Bycanistes	brevis		NC_015201			
Aves	Bucerotiformes	Bucerotidae	Penelopides	panini		NC_015087			
Aves	Bucerotiformes	Bucorvidae	Bucorvus	leadbeateri		NC_015199			
Aves	Caprimulgiformes	Aegothelidae	Aegotheles	cristatus		NC_011718			
Aves	Caprimulgiformes	Caprimulgidae	Caprimulgus	indicus		NC_025773			
Aves	Casuariiformes	Casuariidae	Casuarius	casuarius		NC_002778			
Aves	Casuariiformes	Dromaiidae	Dromaius	novaehollandiae		NC_002784			
Aves	Charadriiformes	Alcidae	Synthliboramphus	antiquus		NC_007978			
Aves	Charadriiformes	Alcidae	Synthliboramphus	wumizusume		NC_029328			
Aves	Charadriiformes	Charadriidae	Pluvialis	fulva		NC_033966			
Aves	Charadriiformes	Charadriidae	Vanellus	cinereus		NC_025514			
Aves	Charadriiformes	Charadriidae	Vanellus	vanellus		NC_025637			
Aves	Charadriiformes	Haematopodidae	Haematopus	ater		NC_003713			
Aves	Charadriiformes	Haematopodidae	Haematopus	ostralegus		NC_034237			
Aves	Charadriiformes	Jacanidae	Jacana	jacana		NC_024069			
Aves	Charadriiformes	Jacanidae	Jacana	spinosa		NC_024068			
Aves	Charadriiformes	Laridae	Chroicocephalus	ridibundus		NC_025649			
Aves	Charadriiformes	Laridae	Gelochelidon	nilotica		NC_036344			
Aves	Charadriiformes	Laridae	Ichthyaetus	relictus		NC_023777			
Aves	Charadriiformes	Laridae	Larus	brunnicephalus		NC_018548			
Aves	Charadriiformes	Laridae	Larus	crassirostris		NC_025556			
Aves	Charadriiformes	Laridae	Larus	dominicanus		NC_007006			
Aves	Charadriiformes	Laridae	Larus	vegae		NC_029383			
Aves	Charadriiformes	Laridae	Pinguinus	impennis		NC_031347			
Aves	Charadriiformes	Laridae	Saundersilarus	saundersi		NC_017601			
Aves	Charadriiformes	Laridae	Sterna	hirundo		NC_036345			
Aves	Charadriiformes	Laridae	Sternula	albifrons		NC_028176			
Aves	Charadriiformes	Recurvirostridae	Himantopus	himantopus		NC_035423			
Aves	Charadriiformes	Recurvirostridae	Recurvirostra	avosetta		NC_027420			
Aves	Charadriiformes	Scolopacidae	Arenaria	interpres		NC_003712			
Aves	Charadriiformes	Scolopacidae	Calidris	pygmaea		NC_027496			
Aves	Charadriiformes	Scolopacidae	Gallinago	stenura		NC_034741			
Aves	Charadriiformes	Scolopacidae	Numenius	phaeopus		NC_030507			
Aves	Charadriiformes	Scolopacidae	Scolopax	rusticola		NC_025521			
Aves	Charadriiformes	Scolopacidae	Tringa	erythropus		NC_030585			
Aves	Charadriiformes	Scolopacidae	Tringa	ochropus		NC_033974			
Aves	Charadriiformes	Scolopacidae	Tringa	semipalmata		NC_036016			
Aves	Charadriiformes	Scolopacidae	Xenus	cinereus		NC_033973			
Aves	Charadriiformes	Stercorariidae	Stercorarius	maccormicki		NC_026125			
Aves	Ciconiiformes	Cathartidae	Cathartes	aura		NC_007628			
Aves	Ciconiiformes	Ciconiidae	Ciconia	boyciana		NC_002196			
Aves	Ciconiiformes	Ciconiidae	Ciconia	ciconia		NC_002197			
Aves	Ciconiiformes	Ciconiidae	Ciconia	nigra		NC_023946			
Aves	Columbiformes	Columbidae	Alopecoenas	salamonis		NC_031871			
Aves	Columbiformes	Columbidae	Caloenas	maculata		NC_031870			
Aves	Columbiformes	Columbidae	Caloenas	nicobarica		NC_031869			
Aves	Columbiformes	Columbidae	Columba	jouyi		NC_031868			
Aves	Columbiformes	Columbidae	Columba	livia		NC_013978			
Aves	Columbiformes	Columbidae	Columba	rupestris		NC_031867			
Aves	Columbiformes	Columbidae	Didunculus	strigirostris		NC_031866			
Aves	Columbiformes	Columbidae	Geotrygon	violacea		NC_015207			
Aves	Columbiformes	Columbidae	Goura	cristata		NC_031865			
Aves	Columbiformes	Columbidae	Goura	scheepmakeri		NC_027947			
Aves	Columbiformes	Columbidae	Goura	victoria		NC_036613			
Aves	Columbiformes	Columbidae	Hemiphaga	novaeseelandiae		NC_013244			
Aves	Columbiformes	Columbidae	Leptotila	verreauxi		NC_015190			
Aves	Columbiformes	Columbidae	Otidiphaps	nobilis		NC_036612			
Aves	Columbiformes	Columbidae	Streptopelia	chinensis		NC_026459			
Aves	Columbiformes	Columbidae	Streptopelia	orientalis		NC_031447			
Aves	Columbiformes	Columbidae	Trugon	terrestris		NC_036611			
Aves	Columbiformes	Columbidae	Zenaida	auriculata		NC_015203			
Aves	Columbiformes	Columbidae	Zenaida	macroura		NC_031863			
Aves	Columbiformes	Raphidae	Raphus	cucullatus		NC_031864			
Aves	Coraciiformes	Alcedinidae	Alcedo	atthis		NC_035868			
Aves	Coraciiformes	Alcedinidae	Halcyon	coromanda		NC_028177			
Aves	Coraciiformes	Alcedinidae	Halcyon	pileata		NC_024198			
Aves	Coraciiformes	Alcedinidae	Halcyon	smyrnensis		NC_035746			
Aves	Coraciiformes	Alcedinidae	Todiramphus	sanctus		NC_011712			
Aves	Coraciiformes	Cerylidae	Ceryle	rudis		NC_024280			
Aves	Coraciiformes	Cerylidae	Megaceryle	lugubris		NC_035658			
Aves	Coraciiformes	Coraciidae	Eurystomus	orientalis		NC_011716			
Aves	Coraciiformes	Meropidae	Merops	viridis		NC_034642			
Aves	Cuculiformes	Cuculidae	Cuculus	poliocephalus		NC_028414			
Aves	Cuculiformes	Cuculidae	Eudynamys	taitensis		NC_011709			
Aves	Cuculiformes	Neomorphidae	Geococcyx	californianus		NC_011711			
Aves	Dinornithiformes	Dinornithidae	Dinornis	giganteus		NC_002672			
Aves	Dinornithiformes	Emeidae	Anomalopteryx	didiformis		NC_002779			
Aves	Dinornithiformes	Emeidae	Emeus	crassus		NC_002673			
Aves	Falconiformes	Accipitridae	Accipiter	gentilis		NC_011818			
Aves	Falconiformes	Accipitridae	Accipiter	nisus		NC_025580			
Aves	Falconiformes	Accipitridae	Accipiter	virgatus		NC_026082			
Aves	Falconiformes	Accipitridae	Aquila	chrysaetos		NC_024087			
Aves	Falconiformes	Accipitridae	Aquila	heliaca		NC_035806			
Aves	Falconiformes	Accipitridae	Butastur	indicus		NC_032362			
Aves	Falconiformes	Accipitridae	Butastur	liventer		NC_032363			
Aves	Falconiformes	Accipitridae	Buteo	buteo		NC_003128			
Aves	Falconiformes	Accipitridae	Buteo	hemilasius		NC_029377			
Aves	Falconiformes	Accipitridae	Buteo	lagopus		NC_029189			
Aves	Falconiformes	Accipitridae	Circus	melanoleucos		NC_035801			
Aves	Falconiformes	Accipitridae	Gyps	fulvus		NC_036050			
Aves	Falconiformes	Accipitridae	Hieraaetus	fasciatus		NC_029188			
Aves	Falconiformes	Accipitridae	Nisaetus	alboniger		NC_007599			
Aves	Falconiformes	Accipitridae	Nisaetus	nipalensis		NC_007598			
Aves	Falconiformes	Accipitridae	Pandion	haliaetus		NC_008550			
Aves	Falconiformes	Accipitridae	Spilornis	cheela		NC_015887			
Aves	Falconiformes	Falconidae	Falco	cherrug		NC_026715			
Aves	Falconiformes	Falconidae	Falco	columbarius		NC_025579			
Aves	Falconiformes	Falconidae	Falco	naumanni		NC_029846			
Aves	Falconiformes	Falconidae	Falco	peregrinus		NC_000878			
Aves	Falconiformes	Falconidae	Falco	rusticolus		NC_029359			
Aves	Falconiformes	Falconidae	Falco	sparverius		NC_008547			
Aves	Falconiformes	Falconidae	Falco	tinnunculus		NC_011307			
Aves	Falconiformes	Falconidae	Micrastur	gilvicollis		NC_008548			
Aves	Falconiformes	Falconidae	Phalcoboenus	australis		NC_031897			
Aves	Falconiformes	Sagittariidae	Sagittarius	serpentarius		NC_023788			
Aves	Galliformes	Cracidae	Crax	daubentoni		NC_024617			
Aves	Galliformes	Cracidae	Crax	rubra		NC_024618			
Aves	Galliformes	Megapodiidae	Alectura	lathami		NC_007227			
Aves	Galliformes	Numididae	Acryllium	vulturinum		NC_014180			
Aves	Galliformes	Numididae	Numida	meleagris		NC_034374			
Aves	Galliformes	Odontophoridae	Callipepla	squamata		NC_029340			
Aves	Galliformes	Odontophoridae	Colinus	virginianus		NC_024620			
Aves	Galliformes	Phasianidae	Alectoris	chukar		NC_020585			
Aves	Galliformes	Phasianidae	Arborophila	ardens		NC_022683			
Aves	Galliformes	Phasianidae	Arborophila	brunneopectus		NC_022684			
Aves	Galliformes	Phasianidae	Arborophila	rufipectus		NC_012453			
Aves	Galliformes	Phasianidae	Arborophila	rufogularis		NC_020584			
Aves	Galliformes	Phasianidae	Bambusicola	fytchii		NC_020583			
Aves	Galliformes	Phasianidae	Bambusicola	thoracicus		NC_011816			
Aves	Galliformes	Phasianidae	Caloperdix	oculeus		NC_024619			
Aves	Galliformes	Phasianidae	Chrysolophus	amherstiae		NC_020590			
Aves	Galliformes	Phasianidae	Chrysolophus	pictus		NC_014576			
Aves	Galliformes	Phasianidae	Coturnix	chinensis		NC_004575			
Aves	Galliformes	Phasianidae	Coturnix	japonica		NC_003408			
Aves	Galliformes	Phasianidae	Crossoptilon	auritum		NC_015897			
Aves	Galliformes	Phasianidae	Crossoptilon	crossoptilon		NC_016679			
Aves	Galliformes	Phasianidae	Crossoptilon	harmani		NC_026547			
Aves	Galliformes	Phasianidae	Crossoptilon	mantchuricum		NC_026548			
Aves	Galliformes	Phasianidae	Francolinus	pintadeanus		NC_011817			
Aves	Galliformes	Phasianidae	Gallus	gallus		CM008858			
Aves	Galliformes	Phasianidae	Gallus	gallus		NC_001323			
Aves	Galliformes	Phasianidae	Gallus	lafayetii		NC_007239			
Aves	Galliformes	Phasianidae	Gallus	sonneratii		NC_007240			
Aves	Galliformes	Phasianidae	Gallus	varius		NC_007238			
Aves	Galliformes	Phasianidae	Haematortyx	sanguiniceps		NC_034001			
Aves	Galliformes	Phasianidae	Ithaginis	cruentus		NC_018033			
Aves	Galliformes	Phasianidae	Lagopus	lagopus		NC_035568			
Aves	Galliformes	Phasianidae	Lagopus	muta		NC_034002			
Aves	Galliformes	Phasianidae	Lophophorus	lhuysii		NC_013979			
Aves	Galliformes	Phasianidae	Lophophorus	sclateri		NC_020589			
Aves	Galliformes	Phasianidae	Lophura	ignita		NC_010781			
Aves	Galliformes	Phasianidae	Lophura	nycthemera		NC_012895			
Aves	Galliformes	Phasianidae	Lophura	swinhoii		NC_023779			
Aves	Galliformes	Phasianidae	Lyrurus	tetrix		NC_024554			
Aves	Galliformes	Phasianidae	Meleagris	gallopavo		NC_010195			
Aves	Galliformes	Phasianidae	Pavo	cristatus		NC_024533			
Aves	Galliformes	Phasianidae	Pavo	muticus		NC_012897			
Aves	Galliformes	Phasianidae	Perdix	dauurica		NC_020588			
Aves	Galliformes	Phasianidae	Perdix	hodgsoniae		NC_023940			
Aves	Galliformes	Phasianidae	Phasianus	colchicus		NC_015526			
Aves	Galliformes	Phasianidae	Phasianus	versicolor		NC_010778			
Aves	Galliformes	Phasianidae	Polyplectron	bicalcaratum		NC_012900			
Aves	Galliformes	Phasianidae	Polyplectron	germaini		NC_023264			
Aves	Galliformes	Phasianidae	Polyplectron	napoleonis		NC_024615			
Aves	Galliformes	Phasianidae	Ptilopachus	petrosus		NC_024616			
Aves	Galliformes	Phasianidae	Pucrasia	macrolopha		NC_020587			
Aves	Galliformes	Phasianidae	Syrmaticus	ellioti		NC_010771			
Aves	Galliformes	Phasianidae	Syrmaticus	humiae		NC_010774			
Aves	Galliformes	Phasianidae	Syrmaticus	reevesii		NC_010770			
Aves	Galliformes	Phasianidae	Syrmaticus	soemmerringii		NC_010767			
Aves	Galliformes	Phasianidae	Tetraogallus	himalayensis		NC_027279			
Aves	Galliformes	Phasianidae	Tetraogallus	tibetanus		NC_023939			
Aves	Galliformes	Phasianidae	Tetraophasis	obscurus		NC_018034			
Aves	Galliformes	Phasianidae	Tetraophasis	szechenyii		NC_020613			
Aves	Galliformes	Phasianidae	Tetrastes	bonasia		NC_020591			
Aves	Galliformes	Phasianidae	Tetrastes	sewerzowi		NC_025318			
Aves	Galliformes	Phasianidae	Tragopan	caboti		NC_013619			
Aves	Galliformes	Phasianidae	Tragopan	temminckii		NC_020586			
Aves	Gaviiformes	Gaviidae	Gavia	pacifica		NC_008139			
Aves	Gaviiformes	Gaviidae	Gavia	stellata		NC_007007			
Aves	Gruiformes	Gruidae	Anthropoides	paradiseus		NC_020572			
Aves	Gruiformes	Gruidae	Anthropoides	virgo		NC_020573			
Aves	Gruiformes	Gruidae	Antigone	canadensis		NC_020582			
Aves	Gruiformes	Gruidae	Balearica	pavonina		NC_020570			
Aves	Gruiformes	Gruidae	Balearica	regulorum		NC_020569			
Aves	Gruiformes	Gruidae	Grus	americana		NC_020576			
Aves	Gruiformes	Gruidae	Grus	antigone		NC_020581			
Aves	Gruiformes	Gruidae	Grus	carunculatus		NC_020571			
Aves	Gruiformes	Gruidae	Grus	grus		NC_020577			
Aves	Gruiformes	Gruidae	Grus	japonensis		NC_020575			
Aves	Gruiformes	Gruidae	Grus	leucogeranus		NC_020574			
Aves	Gruiformes	Gruidae	Grus	monacha		NC_020578			
Aves	Gruiformes	Gruidae	Grus	nigricollis		NC_020579			
Aves	Gruiformes	Gruidae	Grus	rubicunda		NC_020580			
Aves	Gruiformes	Gruidae	Grus	vipio		NC_021368			
Aves	Gruiformes	Heliornithidae	Heliornis	fulica		NC_025499			
Aves	Gruiformes	Otididae	Otis	tarda		NC_014046			
Aves	Gruiformes	Rallidae	Amaurornis	akool		NC_023982			
Aves	Gruiformes	Rallidae	Amaurornis	phoenicurus		NC_024593			
Aves	Gruiformes	Rallidae	Coturnicops	exquisitus		NC_012143			
Aves	Gruiformes	Rallidae	Eulabeornis	castaneoventris		NC_025501			
Aves	Gruiformes	Rallidae	Fulica	atra		NC_025500			
Aves	Gruiformes	Rallidae	Gallicrex	cinerea		NC_028408			
Aves	Gruiformes	Rallidae	Gallinula	chloropus		NC_015236			
Aves	Gruiformes	Rallidae	Gallirallus	okinawae		NC_012140			
Aves	Gruiformes	Rallidae	Gallirallus	philippensis		NC_025507			
Aves	Gruiformes	Rallidae	Lewinia	muelleri		NC_025502			
Aves	Gruiformes	Rallidae	Porphyrio	hochstetteri		NC_010092			
Aves	Gruiformes	Rallidae	Porphyrio	porphyrio		NC_025508			
Aves	Gruiformes	Rallidae	Rallina	eurizonoides		NC_012142			
Aves	Gruiformes	Rallidae	Sarothrura	ayresi		NC_034316			
Aves	Gruiformes	Rhynochetidae	Rhynochetos	jubatus		NC_010091			
Aves	Passeriformes	Acanthizidae	Gerygone	igata		NC_029139			
Aves	Passeriformes	Aegithalidae	Aegithalos	bonvaloti		NC_024267			
Aves	Passeriformes	Aegithalidae	Aegithalos	fuliginosus		NC_024266			
Aves	Passeriformes	Aegithalidae	Aegithalos	glaucogularis		NC_024268			
Aves	Passeriformes	Alaudidae	Alauda	arvensis		NC_020425			
Aves	Passeriformes	Alaudidae	Melanocorypha	mongolica		NC_036760			
Aves	Passeriformes	Callaeatidae	Callaeas	cinereus		NC_031350			
Aves	Passeriformes	Callaeatidae	Heteralocha	acutirostris		NC_031351			
Aves	Passeriformes	Callaeatidae	Philesturnus	carunculatus		NC_029143			
Aves	Passeriformes	Campephagidae	Pericrocotus	ethologus		NC_024257			
Aves	Passeriformes	Certhiidae	Campylorhynchus	brunneicapillus		NC_029482			
Aves	Passeriformes	Certhiidae	Campylorhynchus	zonatus		NC_022840			
Aves	Passeriformes	Certhiidae	Henicorhina	leucosticta		NC_024673			
Aves	Passeriformes	Corvidae	Corvus	brachyrhynchos		NC_026461			
Aves	Passeriformes	Corvidae	Corvus	corax		NC_034838			
Aves	Passeriformes	Corvidae	Corvus	coronoides		NC_035877			
Aves	Passeriformes	Corvidae	Corvus	cryptoleucus		KX245139			
Aves	Passeriformes	Corvidae	Corvus	cryptoleucus		NC_034839			
Aves	Passeriformes	Corvidae	Corvus	frugilegus		NC_002069			
Aves	Passeriformes	Corvidae	Corvus	hawaiiensis		KP161619			
Aves	Passeriformes	Corvidae	Corvus	hawaiiensis		NC_026783			
Aves	Passeriformes	Corvidae	Corvus	macrorhynchos		NC_027173			
Aves	Passeriformes	Corvidae	Corvus	moriorum		NC_031518			
Aves	Passeriformes	Corvidae	Corvus	splendens		NC_024607			
Aves	Passeriformes	Corvidae	Cyanopica	cyanus		NC_015824			
Aves	Passeriformes	Corvidae	Garrulus	glandarius		NC_015810			
Aves	Passeriformes	Corvidae	Nucifraga	columbiana		NC_022839			
Aves	Passeriformes	Corvidae	Oriolus	chinensis		NC_020424			
Aves	Passeriformes	Corvidae	Pica	pica		NC_015200			
Aves	Passeriformes	Corvidae	Podoces	hendersoni		NC_014879			
Aves	Passeriformes	Corvidae	Pyrrhocorax	graculus		NC_025927			
Aves	Passeriformes	Corvidae	Pyrrhocorax	pyrrhocorax		NC_025926			
Aves	Passeriformes	Corvidae	Urocissa	erythrorhyncha		NC_020426			
Aves	Passeriformes	Estrildidae	Lonchura	caniceps		NC_036397			
Aves	Passeriformes	Estrildidae	Lonchura	castaneothorax		NC_036398			
Aves	Passeriformes	Estrildidae	Lonchura	flaviprymna		NC_036399			
Aves	Passeriformes	Estrildidae	Lonchura	forbesi		NC_036400			
Aves	Passeriformes	Estrildidae	Lonchura	grandis		NC_036401			
Aves	Passeriformes	Estrildidae	Lonchura	grandis		NC_036403			
Aves	Passeriformes	Estrildidae	Lonchura	hunsteini		NC_036402			
Aves	Passeriformes	Estrildidae	Lonchura	leucosticta		NC_036396			
Aves	Passeriformes	Estrildidae	Lonchura	melaena		NC_036404			
Aves	Passeriformes	Estrildidae	Lonchura	nevermanni		NC_036405			
Aves	Passeriformes	Estrildidae	Lonchura	nigerrima		NC_036406			
Aves	Passeriformes	Estrildidae	Lonchura	punctulata		NC_028036			
Aves	Passeriformes	Estrildidae	Lonchura	spectabilis		NC_036407			
Aves	Passeriformes	Estrildidae	Lonchura	striata		NC_029475			
Aves	Passeriformes	Estrildidae	Lonchura	stygia		NC_036408			
Aves	Passeriformes	Estrildidae	Taeniopygia	guttata		NC_007897			
Aves	Passeriformes	Estrildidae	Vidua	chalybeata		NC_000880			
Aves	Passeriformes	Eurylaimidae	Smithornis	sharpei		NC_000879			
Aves	Passeriformes	Fringillidae	Acanthis	flammea		NC_027285			
Aves	Passeriformes	Fringillidae	Akialoa	obscura		NC_031349			
Aves	Passeriformes	Fringillidae	Cardinalis	cardinalis		NC_025618			
Aves	Passeriformes	Fringillidae	Carpodacus	erythrinus		NC_025597			
Aves	Passeriformes	Fringillidae	Carpodacus	roseus		NC_025607			
Aves	Passeriformes	Fringillidae	Chloris	sinica		NC_015196			
Aves	Passeriformes	Fringillidae	Coccothraustes	coccothraustes		NC_025614			
Aves	Passeriformes	Fringillidae	Emberiza	chrysophrys		NC_015233			
Aves	Passeriformes	Fringillidae	Emberiza	cioides		NC_024524			
Aves	Passeriformes	Fringillidae	Emberiza	fucata		NC_033338			
Aves	Passeriformes	Fringillidae	Emberiza	jankowskii		NC_027251			
Aves	Passeriformes	Fringillidae	Emberiza	pusilla		NC_021408			
Aves	Passeriformes	Fringillidae	Emberiza	rutila		NC_024925			
Aves	Passeriformes	Fringillidae	Emberiza	tristrami		NC_015234			
Aves	Passeriformes	Fringillidae	Eophona	migratoria		NC_031374			
Aves	Passeriformes	Fringillidae	Eremopsaltria	mongolica		NC_025616			
Aves	Passeriformes	Fringillidae	Fringilla	coelebs		NC_025599			
Aves	Passeriformes	Fringillidae	Fringilla	montifringilla		NC_024048			
Aves	Passeriformes	Fringillidae	Fringilla	polatzeki		NC_031157			
Aves	Passeriformes	Fringillidae	Haemorhous	cassinii		NC_025613			
Aves	Passeriformes	Fringillidae	Haemorhous	mexicanus		NC_025610			
Aves	Passeriformes	Fringillidae	Hemignathus	flavus		NC_025608			
Aves	Passeriformes	Fringillidae	Hemignathus	parvus		NC_025622			
Aves	Passeriformes	Fringillidae	Hemignathus	stejnegeri		NC_025624			
Aves	Passeriformes	Fringillidae	Hesperiphona	vespertina		NC_025600			
Aves	Passeriformes	Fringillidae	Himatione	sanguinea		NC_025602			
Aves	Passeriformes	Fringillidae	Leucosticte	arctoa		NC_025615			
Aves	Passeriformes	Fringillidae	Leucosticte	brandti		NC_025604			
Aves	Passeriformes	Fringillidae	Loxia	curvirostra		NC_025623			
Aves	Passeriformes	Fringillidae	Loxops	caeruleirostris		NC_025605			
Aves	Passeriformes	Fringillidae	Loxops	coccineus		NC_025612			
Aves	Passeriformes	Fringillidae	Loxops	mana		NC_025598			
Aves	Passeriformes	Fringillidae	Melamprosops	phaeosoma		NC_025617			
Aves	Passeriformes	Fringillidae	Melophus	lathami		NC_031845			
Aves	Passeriformes	Fringillidae	Oreomystis	bairdi		NC_025628			
Aves	Passeriformes	Fringillidae	Paroreomyza	montana		NC_025601			
Aves	Passeriformes	Fringillidae	Pinicola	enucleator		NC_025609			
Aves	Passeriformes	Fringillidae	Pseudonestor	xanthophrys		NC_025630			
Aves	Passeriformes	Fringillidae	Psittirostra	psittacea		NC_031353			
Aves	Passeriformes	Fringillidae	Pyrrhula	pyrrhula		NC_025625			
Aves	Passeriformes	Fringillidae	Schoeniclus	aureolus		NC_022150			
Aves	Passeriformes	Fringillidae	Schoeniclus	elegans		NC_030368			
Aves	Passeriformes	Fringillidae	Schoeniclus	rusticus		NC_024924			
Aves	Passeriformes	Fringillidae	Schoeniclus	siemsseni		NC_032304			
Aves	Passeriformes	Fringillidae	Schoeniclus	spodocephala		NC_021445			
Aves	Passeriformes	Fringillidae	Serinus	albogularis		NC_025595			
Aves	Passeriformes	Fringillidae	Serinus	canaria		NC_023375			
Aves	Passeriformes	Fringillidae	Serinus	dorsostriatus		NC_025621			
Aves	Passeriformes	Fringillidae	Spinus	psaltria		NC_025627			
Aves	Passeriformes	Fringillidae	Spinus	spinus		NC_015198			
Aves	Passeriformes	Fringillidae	Spinus	spinus		NC_025619			
Aves	Passeriformes	Fringillidae	Uragus	sibiricus		NC_025594			
Aves	Passeriformes	Fringillidae	Vestiaria	coccinea		NC_025620			
Aves	Passeriformes	Hirundinidae	Cecropis	daurica		NC_024107			
Aves	Passeriformes	Hirundinidae	Progne	chalybea		NC_020605			
Aves	Passeriformes	Hirundinidae	Tachycineta	albilinea		NC_020601			
Aves	Passeriformes	Hirundinidae	Tachycineta	albiventer		NC_020602			
Aves	Passeriformes	Hirundinidae	Tachycineta	bicolor		NC_020596			
Aves	Passeriformes	Hirundinidae	Tachycineta	cyaneoviridis		NC_020599			
Aves	Passeriformes	Hirundinidae	Tachycineta	euchrysea		NC_020598			
Aves	Passeriformes	Hirundinidae	Tachycineta	leucorrhoa		NC_020603			
Aves	Passeriformes	Hirundinidae	Tachycineta	meyeni		NC_020604			
Aves	Passeriformes	Hirundinidae	Tachycineta	stolzmanni		NC_020600			
Aves	Passeriformes	Hirundinidae	Tachycineta	thalassina		NC_020597			
Aves	Passeriformes	Icteridae	Agelaius	phoeniceus		NC_018801			
Aves	Passeriformes	Icteridae	Amblyramphus	holosericeus		NC_018802			
Aves	Passeriformes	Icteridae	Chrysomus	cyanopus		NC_018813			
Aves	Passeriformes	Icteridae	Chrysomus	icterocephalus		NC_018799			
Aves	Passeriformes	Icteridae	Chrysomus	ruficapillus		NC_018796			
Aves	Passeriformes	Icteridae	Chrysomus	thilius		NC_018807			
Aves	Passeriformes	Icteridae	Chrysomus	xanthophthalmus		NC_018798			
Aves	Passeriformes	Icteridae	Curaeus	curaeus		NC_018808			
Aves	Passeriformes	Icteridae	Dives	dives		NC_018800			
Aves	Passeriformes	Icteridae	Euphagus	cyanocephalus		NC_018827			
Aves	Passeriformes	Icteridae	Gnorimopsar	chopi		NC_018795			
Aves	Passeriformes	Icteridae	Gymnomystax	mexicanus		NC_018812			
Aves	Passeriformes	Icteridae	Macroagelaius	imthurni		NC_018810			
Aves	Passeriformes	Icteridae	Molothrus	aeneus		NC_018806			
Aves	Passeriformes	Icteridae	Molothrus	badius		NC_018811			
Aves	Passeriformes	Icteridae	Nesopsar	nigerrimus		NC_018794			
Aves	Passeriformes	Icteridae	Oreopsar	bolivianus		NC_018797			
Aves	Passeriformes	Icteridae	Pseudoleistes	guirahuro		NC_018809			
Aves	Passeriformes	Icteridae	Pseudoleistes	virescens		NC_018805			
Aves	Passeriformes	Icteridae	Quiscalus	quiscula		NC_018803			
Aves	Passeriformes	Icteridae	Xanthopsar	flavus		NC_018804			
Aves	Passeriformes	Laniidae	Lanius	cristatus		NC_028333			
Aves	Passeriformes	Laniidae	Lanius	isabellinus		NC_027655			
Aves	Passeriformes	Laniidae	Lanius	schach		NC_030604			
Aves	Passeriformes	Laniidae	Lanius	tephronotus		NC_021105			
Aves	Passeriformes	Leiothrichidae	Garrulax	affinis		NC_029402			
Aves	Passeriformes	Leiothrichidae	Garrulax	canorus		NC_020429			
Aves	Passeriformes	Leiothrichidae	Garrulax	cineraceus		NC_024553			
Aves	Passeriformes	Leiothrichidae	Garrulax	elliotii		NC_034373			
Aves	Passeriformes	Leiothrichidae	Garrulax	formosus		NC_034353			
Aves	Passeriformes	Leiothrichidae	Garrulax	ocellatus		NC_027657			
Aves	Passeriformes	Leiothrichidae	Garrulax	perspicillatus		NC_026068			
Aves	Passeriformes	Leiothrichidae	Garrulax	poecilorhynchus		NC_028082			
Aves	Passeriformes	Leiothrichidae	Garrulax	sannio		NC_028186			
Aves	Passeriformes	Leiothrichidae	Leiothrix	argentauris		NC_015114			
Aves	Passeriformes	Leiothrichidae	Leiothrix	lutea		NC_020427			
Aves	Passeriformes	Leiothrichidae	Minla	ignotincta		NC_030588			
Aves	Passeriformes	Maluridae	Malurus	melanocephalus		NC_024873			
Aves	Passeriformes	Melanocharitidae	Oedistoma	iliolophus		NC_024865			
