0,0
1,0
2,0
3,0
4,0
5,0
6,2668
7,0
8,3045
9,0
10,0
11,2257
12,0
13,0
14,1539
15,4
16,741
17,219
18,668
19,218
20,397
21,0
22,192
23,0
24,211
25,688
26,617
27,629
28,795
29,0
30,2847
31,328
32,0
33,547
34,143
35,368
36,426
37,314
38,392
39,524
40,313
41,29
42,597
43,18
44,400
45,836
46,13
47,42
48,326
49,18
50,0
51,0
52,947
53,1742
54,0
55,0
56,950
57,100000
58,12
59,31
60,96
61,1899
62,1942
63,0
64,1896
65,0
66,1891
67,0
68,1817
69,0
70,0
71,1857
72,0
73,0
74,2103
75,459
76,2390
77,3569
78,280
79,378
80,1229
81,769
82,199
83,169
84,190
85,402
86,1166
87,856
88,491
89,284
90,727
91,1214
92,302
93,11
94,735
95,933
96,1700
97,55
98,2
99,43
100,56
101,0
102,1690
103,0
104,1841
105,0
106,1
107,0
108,2511
109,0
110,2064
111,924
112,1788
113,2093
114,346
115,262
116,1032
117,1547
118,570
119,905
120,344
121,0
122,2071
123,0
124,2149
125,125
126,1815
127,1641
128,1692
129,1925
130,3
131,1791
132,1909
133,0
134,1737
135,616
136,1478
137,1634
138,1653
139,5
140,1601
141,1843
142,0
143,2036
144,0
145,0
146,1925
147,504
148,0
149,1538
150,0
151,1935
152,0
153,1858
154,0
155,1992
156,0
157,0
158,0
159,2144
160,56
161,0
162,0
163,2203
164,3
165,2163
166,335
167,1997
168,35
169,1139
170,1985
171,2047
172,0
173,2224
174,0
175,0
176,2133
177,75
178,0
179,2462
180,1998
181,236
182,2106
183,251
184,2041
185,0
186,1928
187,24
188,2157
189,2153
190,1999
191,2023
192,54
193,187
194,51
195,1334
196,0
197,5866
198,953
199,1439
200,216
201,1595
202,1101
203,1183
204,748
205,1405
206,833
207,1393
208,899
209,1086
210,1515
211,192
212,895
213,1162
214,1233
215,29
216,0
217,2271
218,0
219,1341
220,0
221,0
222,2217
223,19
224,0
225,2551
226,521
227,2032
228,2103
229,2170
230,0
231,1381
232,0
233,2190
234,0
235,0
236,2472
237,13
238,0
239,2408
240,0
241,2148
242,0
243,0
244,2711
245,0
246,0
247,1054
248,0
249,0
250,3309
251,0
252,63
253,2244
254,2104
255,8
256,0
257,2346
258,0
259,2550
260,86
261,1597
262,0
263,2399
264,0
265,2353
266,0
267,2346
268,0
269,1841
270,0
271,0
272,2422
273,940
274,0
275,1116
276,0
277,1363
278,0
279,2548
280,85
281,0
282,1360
283,0
284,2130
285,1935
286,0
287,2257
288,42
289,0
290,2358
291,0
292,2303
293,0
294,0
295,2740
296,162
297,172
298,1985
299,1864
300,0
301,2153
302,1236
303,0
304,736
305,0
306,1690
307,0
308,772
309,105
310,0
311,0
312,1771
313,0
314,0
315,2278
316,0
317,0
318,2167
319,113
320,0
321,2125
322,0
323,2232
324,0
325,2322
326,0
327,2266
328,0
329,103
330,0
331,2106
332,0
333,2083
334,70
335,38
336,0
337,1942
338,0
339,2062
340,0
341,2205
342,0
343,2110
344,93
345,0
346,2113
347,0
348,2138
349,2122
350,0
351,0
352,2104
353,0
354,0
355,2155
356,817
357,0
358,1537
359,0
360,2163
361,1859
362,1602
363,1086
364,1342
365,837
366,2014
367,861
368,10
369,0
370,0
371,2250
372,0
373,48
374,2288
375,2467
376,65
377,0
378,2225
379,433
380,2229
381,1671
382,1889
383,2122
384,0
385,2487
386,0
387,0
388,0
389,2694
390,1634
391,0
392,1762
393,2188
394,871
395,2346
396,2159
397,2207
398,875
399,2453
400,2287
401,2243
402,14
403,0
404,677
405,0
406,2129
407,0
408,2206
409,1132
410,2276
411,1432
412,120
413,1048
414,1079
415,120
416,1175
417,0
418,86
419,0
420,1058
421,0
422,2046
423,0
424,1603
425,0
426,128
427,2235
428,2195
429,0
430,0
431,600
432,351
433,0
434,0
435,814
436,0
437,0
438,1866
439,0
440,0
441,1991
442,0
443,735
444,1676
445,1266
446,1332
447,4812
448,0
449,440
450,1223
451,0
452,31
453,0
454,2385
455,0
456,425
457,1602
458,1209
459,0
460,140
461,0
462,2115
463,68
464,0
465,1398
466,0
467,2110
468,19
469,0
470,2080
471,0
472,2274
473,0
474,0
475,1929
476,0
477,0
478,2043
479,0
480,0
481,1837
482,3
483,14
484,0
