target	name	probe count	reads hit	reads tested	total size	strains
1045	Actinopteri_Cypriniformes_Balitoridae_Pseudogastromyzon_myersi	1591	16012	16363	16563	1
1046	Actinopteri_Cypriniformes_Balitoridae_Pseudohomaloptera	0	0	16381	16581	1
1047	Actinopteri_Cypriniformes_Balitoridae_Pseudohomaloptera_leonardi	1910	16304	16381	16581	1
1048	Actinopteri_Cypriniformes_Balitoridae_Sewellia	311	845	32653	33053	2
1049	Actinopteri_Cypriniformes_Balitoridae_Sewellia_albisuera	1393	15611	16330	16530	1
1050	Actinopteri_Cypriniformes_Balitoridae_Sewellia_lineolata	1362	15241	16323	16523	1
1051	Actinopteri_Cypriniformes_Balitoridae_Sinogastromyzon	253	642	49086	49686	3
1052	Actinopteri_Cypriniformes_Balitoridae_Sinogastromyzon_puliensis	1335	15098	16352	16552	1
1053	Actinopteri_Cypriniformes_Balitoridae_Sinogastromyzon_sichangensis	1156	14928	16368	16568	1
1054	Actinopteri_Cypriniformes_Balitoridae_Sinogastromyzon_szechuanensis	1277	15179	16366	16566	1
1055	Actinopteri_Cypriniformes_Balitoridae_Vanmanenia	21	0	32722	33122	2
1056	Actinopteri_Cypriniformes_Balitoridae_Vanmanenia_pingchowensis	1217	13050	16361	16561	1
1057	Actinopteri_Cypriniformes_Balitoridae_Vanmanenia_stenosoma	1910	16017	16361	16561	1
1058	Actinopteri_Cypriniformes_Balitoridae_Yaoshania	0	0	16365	16565	1
1059	Actinopteri_Cypriniformes_Balitoridae_Yaoshania_pachychilus	1756	15993	16365	16565	1
1060	Actinopteri_Cypriniformes_Barbuccidae	0	0	16341	16541	1
1061	Actinopteri_Cypriniformes_Barbuccidae_Barbucca	0	0	16341	16541	1
1062	Actinopteri_Cypriniformes_Barbuccidae_Barbucca_diabolica	1800	16088	16341	16541	1
1063	Actinopteri_Cypriniformes_Catostomidae	2871	35112	213536	216136	13
1064	Actinopteri_Cypriniformes_Catostomidae_Carpiodes	0	0	16412	16612	1
1065	Actinopteri_Cypriniformes_Catostomidae_Carpiodes_carpio	1822	16236	16412	16612	1
1066	Actinopteri_Cypriniformes_Catostomidae_Catostomus	0	0	16426	16626	1
1067	Actinopteri_Cypriniformes_Catostomidae_Catostomus_commersonii	1639	15904	16426	16626	1
1068	Actinopteri_Cypriniformes_Catostomidae_Cycleptus	0	0	16427	16627	1
1069	Actinopteri_Cypriniformes_Catostomidae_Cycleptus_elongatus	1799	15890	16427	16627	1
1070	Actinopteri_Cypriniformes_Catostomidae_Erimyzon	0	0	16428	16628	1
1071	Actinopteri_Cypriniformes_Catostomidae_Erimyzon_oblongus	1935	16211	16428	16628	1
1072	Actinopteri_Cypriniformes_Catostomidae_Hypentelium	0	0	16426	16626	1
